,t,N_pump,p_pump,eta_pump,tau_pump,tau_turbine,T_gg_comb,Pcc_gg,MR_gg,dp_dt_gg,m_dot_gg_inj_fu,m_dot_gg_inj_ox,p_gg_inj_ox,p_gg_inj_fu,T_me_comb,Pcc_me,MR_me,dp_dt_me,m_dot_me_inj_fu,m_dot_me_inj_ox,p_me_inj_ox,p_me_inj_fu,m_dot_gg_mov,m_dot_gg_mfv,m_dot_me_mov,m_dot_me_mfv
671,[0.08652238],[2405.18517604],3000000.0,[0.],[2.22723566e-07],[3.47613765],[1516.18581483],[2181034.8339586],[2.37253609],[14211683.96295246],[0.00857621],[0.02034736],[4961784.16980446],[2671316.98801725],0,100000.0,0,0,0,0,[100000.],[100000.],[0.03618254],[0.0033901],[0.],[0.]
672,[0.08668921],[2405.18517604],3000000.0,[0.],[2.24117752e-07],[3.48497343],[1524.53529148],[2183389.21091468],[2.38626801],[14402598.58591749],[0.00853854],[0.02037524],[4971714.39187957],[2669659.03166008],0,100000.0,0,0,0,0,[100000.],[100000.],[0.03609992],[0.00417398],[0.],[0.]
673,[0.08685763],[2405.18517604],3000000.0,[0.],[2.25525304e-07],[3.49374953],[1532.58341641],[2185791.9817557],[2.39950403],[14577203.05934683],[0.00850293],[0.02040282],[4981620.21984993],[2668301.08218016],0,100000.0,0,0,0,0,[100000.],[100000.],[0.03597942],[0.00495309],[0.],[0.]
674,[0.08702815],[2405.18517604],3000000.0,[0.],[2.26949816e-07],[3.50246265],[1540.32390186],[2188247.00109848],[2.41223381],[14734190.77632839],[0.00846936],[0.02043008],[4991496.34388434],[2667242.08818925],0,100000.0,0,0,0,0,[100000.],[100000.],[0.03581373],[0.0057271],[0.],[0.]
675,[0.08720153],[2405.18517604],3000000.0,[0.],[2.28395792e-07],[3.5111049],[1547.74674103],[2190759.58439243],[2.42444684],[14871458.73709681],[0.0084378],[0.02045699],[5001331.97454577],[2666482.69105171],0,100000.0,0,0,0,0,[100000.],[100000.],[0.03558778],[0.0064957],[0.],[0.]
676,[0.08738004],[2405.18517604],3000000.0,[0.],[2.2986956e-07],[3.51946085],[1554.64593081],[2193337.95616153],[2.4361335],[14970052.29800555],[0.00840819],[0.02048348],[5011044.69623763],[2666025.6644828],0,100000.0,0,0,0,0,[100000.],[100000.],[0.03517959],[0.00725859],[0.],[0.]
677,[0.0875652],[2405.18517604],3000000.0,[0.],[2.3139053e-07],[3.52770947],[1561.23354832],[2196010.18926596],[2.44729196],[15034246.60092009],[0.00838034],[0.02050914],[5020685.08208635],[2665876.32906029],0,100000.0,0,0,0,0,[100000.],[100000.],[0.03467676],[0.0080155],[0.],[0.]
678,[0.08775825],[2405.18517604],3000000.0,[0.],[2.32971934e-07],[3.5358905],[1567.52718959],[2198793.99083511],[2.45795202],[15063273.80432092],[0.00835415],[0.02053411],[5030276.61416272],[2666051.24386555],0,100000.0,0,0,0,0,[100000.],[100000.],[0.03412302],[0.00876612],[0.],[0.]
679,[0.08796047],[2405.18517604],3000000.0,[0.],[2.34624508e-07],[3.5440189],[1573.51433609],[2201701.94791712],[2.46809248],[15055551.32207826],[0.00832968],[0.02055841],[5039823.09521752],[2666573.80767531],0,100000.0,0,0,0,0,[100000.],[100000.],[0.03353104],[0.00951018],[0.],[0.]
680,[0.0881733],[2405.18517604],3000000.0,[0.],[2.36359569e-07],[3.55209377],[1579.16648678],[2204746.48992604],[2.47766502],[15008048.64775091],[0.00830702],[0.02058202],[5049324.41456596],[2667473.51836473],0,100000.0,0,0,0,0,[100000.],[100000.],[0.03290774],[0.01024735],[0.],[0.]
681,[0.08839843],[2405.18517604],3000000.0,[0.],[2.38189857e-07],[3.56006055],[1584.3971853],[2207940.71578064],[2.48660432],[14913475.71317702],[0.00828636],[0.02060491],[5058778.43269554],[2668786.76492615],0,100000.0,0,0,0,0,[100000.],[100000.],[0.03225766],[0.01097729],[0.],[0.]
682,[0.08863785],[2405.18517604],3000000.0,[0.],[2.40130188e-07],[3.56786245],[1589.10990326],[2211298.1215496],[2.49482568],[14764434.04469203],[0.00826791],[0.020627],[5068181.44814679],[2670558.25223707],0,100000.0,0,0,0,0,[100000.],[100000.],[0.0315841],[0.01169962],[0.],[0.]
683,[0.088894],[2405.18517604],3000000.0,[0.],[2.4219823e-07],[3.57559797],[1593.3502272],[2214833.00106261],[2.50222212],[14565353.2875764],[0.00825196],[0.02064824],[5077528.2263651],[2672843.09945329],0,100000.0,0,0,0,0,[100000.],[100000.],[0.0308896],[0.01241391],[0.],[0.]
684,[0.08916992],[2405.18517604],3000000.0,[0.],[2.44415599e-07],[3.58325351],[1597.0453915],[2218563.9293073],[2.50866664],[14311011.46858164],[0.00823886],[0.02066855],[5086811.80097062],[2675709.85577819],0,100000.0,0,0,0,0,[100000.],[100000.],[0.03017619],[0.01311967],[0.],[0.]
685,[0.08946946],[2405.18517604],3000000.0,[0.],[2.46809199e-07],[3.59081148],[1600.10507565],[2222512.60049971],[2.51400163],[13995271.13839633],[0.00822904],[0.02068783],[5096023.04950291],[2679244.82294808],0,100000.0,0,0,0,0,[100000.],[100000.],[0.02944555],[0.01381634],[0.],[0.]
686,[0.08979766],[2405.18517604],3000000.0,[0.],[2.49413243e-07],[3.59824912],[1602.41612779],[2226704.81463491],[2.51802982],[13610794.66165351],[0.00822307],[0.02070594],[5105150.01140544],[2683558.396447],0,100000.0,0,0,0,0,[100000.],[100000.],[0.02869909],[0.01450326],[0.],[0.]
687,[0.09016124],[2405.18517604],3000000.0,[0.],[2.52272285e-07],[3.6055371],[1603.83530884],[2231171.84994728],[2.5205011],[13148686.73455378],[0.00822168],[0.02072275],[5114176.81565062],[2688794.63364977],0,100000.0,0,0,0,0,[100000.],[100000.],[0.027938],[0.01517962],[0.],[0.]
688,[0.09056952],[2405.18517604],3000000.0,[0.],[2.55445981e-07],[3.61263677],[1604.17788853],[2235952.47031636],[2.52109315],[12597891.51402697],[0.00822582],[0.02073805],[5123081.97181265],[2695146.21814829],0,100000.0,0,0,0,0,[100000.],[100000.],[0.02716335],[0.01584446],[0.],[0.]
689,[0.09103594],[2405.18517604],3000000.0,[0.],[2.59016884e-07],[3.61949636],[1603.20069745],[2241095.9639129],[2.51938171],[11944337.17462929],[0.00823678],[0.0207516],[5131835.54828572],[2702878.92463278],0,100000.0,0,0,0,0,[100000.],[100000.],[0.02637603],[0.01649656],[0.],[0.]
690,[0.09152717],[2405.18517604],3000000.0,[0.],[2.63103995e-07],[3.62604494],[1600.57499212],[2246667.0114427],[2.51479323],[11169551.55652621],[0.00825637],[0.02076306],[5140394.26726988],[2712373.88379706],0,100000.0,0,0,0,0,[100000.],[100000.],[0.02557685],[0.01713437],[0.],[0.]
691,[0.09198803],[2405.18517604],3000000.0,[0.],[2.67416289e-07],[3.63185672],[1595.05276277],[2252153.79015507],[2.50515088],[10397291.48332033],[0.00829256],[0.02077411],[5147870.48890446],[2723032.78594061],0,100000.0,0,0,0,0,[100000.],[100000.],[0.02476669],[0.01775554],[0.],[0.]
692,[0.09242358],[2405.18517604],3000000.0,[0.],[2.71468494e-07],[3.6362071],[1586.6535996],[2256945.48830583],[2.49048987],[9718070.84440722],[0.00834525],[0.02078376],[5153429.82789283],[2733613.86937744],0,100000.0,0,0,0,0,[100000.],[100000.],[0.02394828],[0.01835811],[0.],[0.]
693,[0.09283735],[2405.18517604],3000000.0,[0.],[2.75302751e-07],[3.63883531],[1577.19358702],[2261178.20454629],[2.47426778],[9029077.52768434],[0.00840189],[0.02078853],[5157310.23063847],[2744140.30476499],0,100000.0,0,0,0,0,[100000.],[100000.],[0.0231257],[0.01894186],[0.],[0.]
694,[0.09323222],[2405.18517604],3000000.0,[0.],[2.78947886e-07],[3.6399671],[1566.84519328],[2264914.15533424],[2.45673678],[8334284.22461404],[0.00846206],[0.02078905],[5159697.16050721],[2754618.98743815],0,100000.0,0,0,0,0,[100000.],[100000.],[0.02230238],[0.01950656],[0.],[0.]
695,[0.09361057],[2405.18517604],3000000.0,[0.],[2.82427587e-07],[3.63989027],[1555.86495086],[2268205.09092965],[2.4381365],[7643880.51427019],[0.00852528],[0.0207858],[5160743.95593368],[2765055.56106522],0,100000.0,0,0,0,0,[100000.],[100000.],[0.02148124],[0.02005195],[0.],[0.]
696,[0.0939744],[2405.18517604],3000000.0,[0.],[2.85761659e-07],[3.63863727],[1544.2760481],[2271097.14910256],[2.41867318],[6950004.11514045],[0.00859114],[0.02077916],[5160579.08668287],[2775454.62612977],0,100000.0,0,0,0,0,[100000.],[100000.],[0.02066485],[0.0205778],[0.],[0.]
697,[0.0943254],[2405.18517604],3000000.0,[0.],[2.88966681e-07],[3.63614506],[1532.01684914],[2273625.77103718],[2.39851294],[6240167.05354645],[0.00865931],[0.02076948],[5159311.46079352],[2785819.92677685],0,100000.0,0,0,0,0,[100000.],[100000.],[0.01985548],[0.02108385],[0.],[0.]
698,[0.09466505],[2405.18517604],3000000.0,[0.],[2.92056632e-07],[3.6327803],[1519.413205],[2275816.11919584],[2.37778683],[5536221.90694066],[0.00872956],[0.02075703],[5157034.36079663],[2796154.52619858],0,100000.0,0,0,0,0,[100000.],[100000.],[0.01905519],[0.02156982],[0.],[0.]
699,[0.09499459],[2405.18517604],3000000.0,[0.],[2.95043774e-07],[3.62846614],[1506.39512852],[2277696.46089685],[2.35661968],[4826199.53903603],[0.00880162],[0.02074207],[5153828.4634288],[2806461.02316702],0,100000.0,0,0,0,0,[100000.],[100000.],[0.0182659],[0.02203543],[0.],[0.]
700,[0.09531514],[2405.18517604],3000000.0,[0.],[2.97938642e-07],[3.62315905],[1492.92308513],[2279286.90160111],[2.33510952],[4102489.46470558],[0.00887529],[0.02072478],[5149764.13135627],[2816741.56005972],0,100000.0,0,0,0,0,[100000.],[100000.],[0.01748936],[0.02248036],[0.],[0.]
701,[0.09562768],[2405.18517604],3000000.0,[0.],[3.00750395e-07],[3.61719334],[1479.28554194],[2280601.95651015],[2.3133354],[3386672.96919588],[0.00895044],[0.02070538],[5144903.19648884],[2826997.91390867],0,100000.0,0,0,0,0,[100000.],[100000.],[0.01672727],[0.02290428],[0.],[0.]
702,[0.09593308],[2405.18517604],3000000.0,[0.],[3.03487356e-07],[3.61032856],[1465.27625144],[2281660.42193941],[2.29137626],[2656996.15718612],[0.00902689],[0.02068401],[5139300.40973885],[2837231.6093876],0,100000.0,0,0,0,0,[100000.],[100000.],[0.01598124],[0.02330683],[0.],[0.]
703,[0.09623213],[2405.18517604],3000000.0,[0.],[3.06156741e-07],[3.60272349],[1451.02865541],[2282471.87210498],[2.26928802],[1923072.54652],[0.00910454],[0.02066083],[5133004.58081502],[2847443.87361577],0,100000.0,0,0,0,0,[100000.],[100000.],[0.01525285],[0.02368759],[0.],[0.]
704,[0.09652556],[2405.18517604],3000000.0,[0.],[3.08765135e-07],[3.594606],[1436.73159754],[2283046.97367321],[2.24712323],[1199323.06380678],[0.00918328],[0.02063597],[5126059.50761779],[2857635.73059686],0,100000.0,0,0,0,0,[100000.],[100000.],[0.01454367],[0.02404612],[0.],[0.]
705,[0.09681401],[2405.18517604],3000000.0,[0.],[3.11318661e-07],[3.58553663],[1422.02268921],[2283398.88378715],[2.22493321],[450871.90842887],[0.00926299],[0.02060953],[5118504.78154523],[2867808.02746172],0,100000.0,0,0,0,0,[100000.],[100000.],[0.01385529],[0.0243819],[0.],[0.]
706,[0.09709811],[2405.18517604],3000000.0,[0.],[3.13822603e-07],[3.57598472],[1407.28374194],[2283528.93958407],[2.20274645],[-288180.57550955],[0.00934363],[0.02058166],[5110376.42170181],[2877961.3708986],0,100000.0,0,0,0,0,[100000.],[100000.],[0.01318935],[0.02469439],[0.],[0.]
707,[0.09737843],[2405.18517604],3000000.0,[0.],[3.16282158e-07],[3.56589443],[1392.46803633],[2283447.06819384],[2.18060159],[-1023997.93237335],[0.00942512],[0.02055243],[5101707.44160489],[2888096.24867788],0,100000.0,0,0,0,0,[100000.],[100000.],[0.01254756],[0.02498292],[0.],[0.]
708,[0.09765551],[2405.18517604],3000000.0,[0.],[3.18702133e-07],[3.5550027],[1377.36582126],[2283160.02449038],[2.15852895],[-1777118.29428145],[0.00950737],[0.02052194],[5092528.39172954],[2898212.96585104],0,100000.0,0,0,0,0,[100000.],[100000.],[0.01193176],[0.02524676],[0.],[0.]
709,[0.09792988],[2405.18517604],3000000.0,[0.],[3.21086882e-07],[3.54375499],[1362.32538087],[2282667.61583997],[2.13654662],[-2514949.08422644],[0.00959038],[0.02049029],[5082867.80328564],[2908311.62372856],0,100000.0,0,0,0,0,[100000.],[100000.],[0.01134394],[0.02548505],[0.],[0.]
710,[0.09820114],[2405.18517604],3000000.0,[0.],[3.23440862e-07],[3.53187065],[1347.12776331],[2281977.57487506],[2.11468183],[-3259423.6364956],[0.00967406],[0.02045755],[5072752.66348604],[2918392.18288419],0,100000.0,0,0,0,0,[100000.],[100000.],[0.01078637],[0.02569677],[0.],[0.]
711,[0.09845928],[2405.18517604],3000000.0,[0.],[3.25760243e-07],[3.51940586],[1331.81562927],[2281093.44798835],[2.09295395],[-4007294.18538997],[0.00975837],[0.02042382],[5062244.99612485],[2928419.97689902],0,100000.0,0,0,0,0,[100000.],[100000.],[0.01026166],[0.02588073],[0.],[0.]
712,[0.09870639],[2405.18517604],3000000.0,[0.],[3.27959775e-07],[3.50672209],[1316.69552024],[2280058.97608985],[2.07149858],[-4743324.02988772],[0.0098427],[0.02038913],[5051798.1140084],[2938005.00737987],0,100000.0,0,0,0,0,[100000.],[100000.],[0.00977284],[0.02603554],[0.],[0.]
713,[0.09894416],[2405.18517604],3000000.0,[0.],[3.30057631e-07],[3.49388084],[1301.99106683],[2278886.87904571],[2.05109774],[-5461850.64701911],[0.00992401],[0.02035512],[5041405.74065722],[2947204.86785389],0,100000.0,0,0,0,0,[100000.],[100000.],[0.00932228],[0.02616071],[0.],[0.]
714,[0.09917411],[2405.18517604],3000000.0,[0.],[3.32068888e-07],[3.48117133],[1287.85173463],[2277588.18796793],[2.03161567],[-6144307.74913501],[0.01000274],[0.02032172],[5031065.16871271],[2956066.08102935],0,100000.0,0,0,0,0,[100000.],[100000.],[0.00891312],[0.02625539],[0.],[0.]
715,[0.09939758],[2405.18517604],3000000.0,[0.],[3.34006828e-07],[3.46870355],[1274.30339735],[2276175.34323786],[2.012948],[-6785335.06860264],[0.01007918],[0.02028887],[5020775.63073187],[2964628.31754769],0,100000.0,0,0,0,0,[100000.],[100000.],[0.00854995],[0.02631832],[0.],[0.]
716,[0.09961589],[2405.18517604],3000000.0,[0.],[3.3588349e-07],[3.45610028],[1261.0285681],[2274659.00216084],[1.99500781],[-7414561.98213449],[0.01015361],[0.02025654],[5010539.16819871],[2972926.47647638],0,100000.0,0,0,0,0,[100000.],[100000.],[0.00824004],[0.02634758],[0.],[0.]
717,[0.09983044],[2405.18517604],3000000.0,[0.],[3.37710141e-07],[3.44353644],[1248.11165627],[2273040.32141711],[1.97771301],[-8019197.42986889],[0.01022632],[0.02022473],[5000363.87669574],[2980992.90762266],0,100000.0,0,0,0,0,[100000.],[100000.],[0.00799759],[0.0263403],[0.],[0.]
718,[0.10004363],[2405.18517604],3000000.0,[0.],[3.39498798e-07],[3.43116909],[1235.6240638],[2271319.80133457],[1.96099326],[-8587390.97179939],[0.01029757],[0.02019347],[4990300.11592843],[2988861.48433977],0,100000.0,0,0,0,0,[100000.],[100000.],[0.00788838],[0.02629184],[0.],[0.]
719,[0.10025867],[2405.18517604],3000000.0,[0.],[3.41269739e-07],[3.41893493],[1223.4680281],[2269489.04825942],[1.94478813],[-9120358.62829397],[0.0103677],[0.02016299],[4980385.88802249],[2996597.93917703],0,100000.0,0,0,0,0,[100000.],[100000.],[0.00796344],[0.02619368],[0.],[0.]
720,[0.10047672],[2405.18517604],3000000.0,[0.],[3.43049632e-07],[3.40652064],[1211.35509743],[2267527.84975283],[1.92898519],[-9634908.46191064],[0.01043735],[0.0201335],[4970524.46384593],[3004282.77589051],0,100000.0,0,0,0,0,[100000.],[100000.],[0.008103],[0.0260229],[0.],[0.]
721,[0.10069878],[2405.18517604],3000000.0,[0.],[3.44847983e-07],[3.394186],[1199.42830845],[2265426.89068601],[1.91342568],[-10110558.36896749],[0.01050716],[0.02010468],[4960704.72021022],[3011859.36970825],0,100000.0,0,0,0,0,[100000.],[100000.],[0.00829104],[0.02566025],[0.],[0.]
722,[0.10092577],[2405.18517604],3000000.0,[0.],[3.46672714e-07],[3.38194748],[1187.73406036],[2263181.74261277],[1.89817019],[-10545973.66624647],[0.01057677],[0.02007651],[4950921.71403083],[3019322.03550459],0,100000.0,0,0,0,0,[100000.],[100000.],[0.00851922],[0.02523297],[0.],[0.]
723,[0.10115861],[2405.18517604],3000000.0,[0.],[3.48531194e-07],[3.3697112],[1176.20657818],[2260787.962784],[1.88321277],[-10947926.11390901],[0.01064617],[0.020049],[4941173.04232969],[3026669.22920529],0,100000.0,0,0,0,0,[100000.],[100000.],[0.00878217],[0.02476247],[0.],[0.]
724,[0.10139827],[2405.18517604],3000000.0,[0.],[3.50430689e-07],[3.35736613],[1164.76620951],[2258238.88003984],[1.86854152],[-11323942.64046417],[0.01071539],[0.02002215],[4931457.69612961],[3033899.64212488],0,100000.0,0,0,0,0,[100000.],[100000.],[0.00907604],[0.02425818],[0.],[0.]
725,[0.10164579],[2405.18517604],3000000.0,[0.],[3.52378676e-07],[3.34510275],[1153.53717306],[2255524.99494912],[1.85414311],[-11656532.01841171],[0.0107845],[0.01999601],[4921775.59815076],[3041011.36194121],0,100000.0,0,0,0,0,[100000.],[100000.],[0.00939788],[0.0237258],[0.],[0.]
726,[0.10190235],[2405.18517604],3000000.0,[0.],[3.54383273e-07],[3.33291792],[1142.51235513],[2252639.6769695],[1.84000853],[-11944565.25700521],[0.01085353],[0.0199706],[4912127.41620468],[3048001.56002265],0,100000.0,0,0,0,0,[100000.],[100000.],[0.00974533],[0.02316933],[0.],[0.]
727,[0.10216923],[2405.18517604],3000000.0,[0.],[3.564534e-07],[3.32083872],[1131.70289968],[2249575.2506499],[1.8261298],[-12185443.6755347],[0.01092253],[0.01994595],[4902514.46649405],[3054866.29249786],0,100000.0,0,0,0,0,[100000.],[100000.],[0.01011645],[0.02259175],[0.],[0.]
728,[0.10244794],[2405.18517604],3000000.0,[0.],[3.58599072e-07],[3.30899058],[1121.17783375],[2246323.15348718],[1.81250026],[-12372314.80811865],[0.01099151],[0.01992211],[4892938.70130684],[3061600.29858222],0,100000.0,0,0,0,0,[100000.],[100000.],[0.01050962],[0.02199545],[0.],[0.]
729,[0.10274021],[2405.18517604],3000000.0,[0.],[3.6083181e-07],[3.29721038],[1110.83753809],[2242874.89638107],[1.79911545],[-12509958.62965817],[0.0110605],[0.01989912],[4883402.7525677],[3068196.76373731],0,100000.0,0,0,0,0,[100000.],[100000.],[0.01092341],[0.0213824],[0.],[0.]
730,[0.1030481],[2405.18517604],3000000.0,[0.],[3.63164864e-07],[3.28549657],[1100.67808126],[2239218.60630564],[1.7859706],[-12595951.00468611],[0.01112954],[0.01987703],[4873910.0063993],[3074646.99895475],0,100000.0,0,0,0,0,[100000.],[100000.],[0.01135662],[0.02075426],[0.],[0.]
731,[0.10337407],[2405.18517604],3000000.0,[0.],[3.65613856e-07],[3.27384804],[1090.69647046],[2235340.46289775],[1.7730622],[-12627395.31268835],[0.01119866],[0.01985592],[4864464.74862835],[3080940.00901114],0,100000.0,0,0,0,0,[100000.],[100000.],[0.01180817],[0.02011245],[0.],[0.]
732,[0.10372113],[2405.18517604],3000000.0,[0.],[3.6819749e-07],[3.26308514],[1081.38905593],[2231224.29706047],[1.76038814],[-12549617.08645618],[0.01126789],[0.01983586],[4855072.37030993],[3087061.90745657],0,100000.0,0,0,0,0,[100000.],[100000.],[0.01227711],[0.01945827],[0.],[0.]
733,[0.10409301],[2405.18517604],3000000.0,[0.],[3.70939225e-07],[3.25280667],[1072.51070992],[2226868.83751097],[1.74796015],[-12387009.08377172],[0.01133714],[0.01981688],[4845739.75246086],[3092995.19531451],0,100000.0,0,0,0,0,[100000.],[100000.],[0.01276258],[0.01879285],[0.],[0.]
734,[0.10449442],[2405.18517604],3000000.0,[0.],[3.73867769e-07],[3.24258405],[1063.80309556],[2222262.3862211],[1.7357861],[-12163707.22556476],[0.01140639],[0.01979905],[4836475.59351956],[3098717.64456881],0,100000.0,0,0,0,0,[100000.],[100000.],[0.01326384],[0.01811726],[0.],[0.]
735,[0.10493147],[2405.18517604],3000000.0,[0.],[3.77018988e-07],[3.23241806],[1055.26840584],[2217379.68682229],[1.72386981],[-11873997.27930724],[0.01147564],[0.01978251],[4827291.02028347],[3104200.57331011],0,100000.0,0,0,0,0,[100000.],[100000.],[0.0137802],[0.01743248],[0.],[0.]
736,[0.10541226],[2405.18517604],3000000.0,[0.],[3.80439224e-07],[3.22231017],[1046.91104377],[2212190.10942726],[1.71221876],[-11510863.73111285],[0.01154491],[0.01976742],[4818200.57620759],[3109406.33214548],0,100000.0,0,0,0,0,[100000.],[100000.],[0.01431105],[0.01673944],[0.],[0.]
737,[0.10594784],[2405.18517604],3000000.0,[0.],[3.8418991e-07],[3.21401422],[1039.78208803],[2206655.87105344],[1.70084553],[-10950860.00312007],[0.01161421],[0.01975397],[4809223.68884905],[3114284.45786532],0,100000.0,0,0,0,0,[100000.],[100000.],[0.01485585],[0.01603907],[0.],[0.]
738,[0.10655396],[2405.18517604],3000000.0,[0.],[3.88357312e-07],[3.20641181],[1033.23016445],[2200790.81185542],[1.68980685],[-10269301.07753595],[0.01168311],[0.0197422],[4800387.51394131],[3118765.95334515],0,100000.0,0,0,0,0,[100000.],[100000.],[0.01541413],[0.01533229],[0.],[0.]
739,[0.10725411],[2405.18517604],3000000.0,[0.],[3.93062453e-07],[3.19885101],[1026.88617499],[2194566.365106],[1.6791497],[-9501913.63981118],[0.01175137],[0.01973231],[4791730.49070522],[3122752.95899096],0,100000.0,0,0,0,0,[100000.],[100000.],[0.0159855],[0.01462007],[0.],[0.]
740,[0.10808557],[2405.18517604],3000000.0,[0.],[3.98484693e-07],[3.1913402],[1020.77863391],[2187913.59731851],[1.66892463],[-8631768.63675133],[0.01181882],[0.01972472],[4783309.74521262],[3126099.65756794],0,100000.0,0,0,0,0,[100000.],[100000.],[0.01656963],[0.01390342],[0.],[0.]
741,[0.10911284],[2405.18517604],3000000.0,[0.],[4.04908719e-07],[3.18389434],[1014.95387389],[2180736.63715681],[1.65921308],[-7634910.90390083],[0.01188516],[0.01972001],[4775215.87049471],[3128575.06431448],0,100000.0,0,0,0,0,[100000.],[100000.],[0.01716631],[0.01318354],[0.],[0.]
742,[0.11046262],[2405.18517604],3000000.0,[0.],[4.12827099e-07],[3.17654085],[1009.4903723],[2172893.52835036],[1.65015199],[-6475212.43116579],[0.01194985],[0.01971906],[4767605.25195029],[3129781.14943459],0,100000.0,0,0,0,0,[100000.],[100000.],[0.01777554],[0.01246187],[0.],[0.]
743,[0.11244141],[2405.18517604],3000000.0,[0.],[4.23207454e-07],[3.17113152],[1005.58485914],[2164153.38949462],[1.64198772],[-4971563.40867233],[0.01201187],[0.01972334],[4760783.99316542],[3128940.63958915],0,100000.0,0,0,0,0,[100000.],[100000.],[0.01839761],[0.0117403],[0.],[0.]
744,[0.11557333],[2405.18517604],3000000.0,[0.],[4.38399192e-07],[3.16583955],[1002.42767968],[2154315.70775858],[1.63533776],[-3192936.03993021],[0.0120677],[0.01973476],[4755495.97335301],[3124194.046368],0,100000.0,0,0,0,0,[100000.],[100000.],[0.01903372],[0.01102158],[0.],[0.]
745,[0.11801159],[2405.18517604],3000000.0,[0.],[4.62403662e-07],[3.16079626],[1000.94952177],[2144315.70775858],[1.63242166],[-1332008.74265857],[0.01210018],[0.01975259],[4754701.47096045],[3111349.18109936],0,100000.0,0,0,0,0,[100000.],[100000.],[0.01968604],[0.01031156],[0.],[0.]
746,[0.11982325],[2405.18517604],3000000.0,[0.],[4.8106188e-07],[3.15817847],[1004.89579227],[2141067.92252335],[1.64124542],[-784286.48924257],[0.01204078],[0.01976187],[4760108.18185534],[3097890.48398989],0,100000.0,0,0,0,0,[100000.],[100000.],[0.02034358],[0.00963353],[0.],[0.]
747,[0.12129041],[2405.18517604],3000000.0,[0.],[4.94913714e-07],[3.16021805],[1011.09942927],[2139647.0603843],[1.65367795],[-205543.34335613],[0.01196585],[0.01978766],[4768429.14403718],[3085542.40778241],0,100000.0,0,0,0,0,[100000.],[100000.],[0.02099256],[0.00899337],[0.],[0.]
748,[0.12253683],[2405.18517604],3000000.0,[0.],[5.06138767e-07],[3.16634506],[1018.95991801],[2139345.4951146],[1.66690726],[461142.83854506],[0.0118904],[0.01982019],[4778528.70032757],[3073771.39892666],0,100000.0,0,0,0,0,[100000.],[100000.],[0.02162603],[0.00839149],[0.],[0.]
749,[0.1236317],[2405.18517604],3000000.0,[0.],[5.15693441e-07],[3.17384261],[1027.30083134],[2139920.27252238],[1.68092621],[1060420.47863423],[0.01181257],[0.01985606],[4789852.63122313],[3062387.24892468],0,100000.0,0,0,0,0,[100000.],[100000.],[0.02223941],[0.00782936],[0.],[0.]
750,[0.12452551],[2405.18517604],3000000.0,[0.],[5.24106277e-07],[3.18229608],[1036.02807158],[2141081.297913],[1.69558785],[1618906.9146591],[0.01173296],[0.01989427],[4802102.15882045],[3051280.88558871],0,100000.0,0,0,0,0,[100000.],[100000.],[0.02282927],[0.00730906],[0.],[0.]
751,[0.12528421],[2405.18517604],3000000.0,[0.],[5.30992456e-07],[3.19178036],[1045.25030789],[2142528.28997582],[1.7107368],[2205363.77889911],[0.01165275],[0.01993479],[4813882.88942633],[3041404.02969881],0,100000.0,0,0,0,0,[100000.],[100000.],[0.02339245],[0.00683359],[0.],[0.]
752,[0.12594733],[2405.18517604],3000000.0,[0.],[5.36855166e-07],[3.20355079],[1055.51301007],[2144201.50703337],[1.72498163],[2887175.26937461],[0.01157846],[0.01997264],[4825324.39280116],[3032399.30574374],0,100000.0,0,0,0,0,[100000.],[100000.],[0.02392871],[0.00640245],[0.],[0.]
753,[0.12653956],[2405.18517604],3000000.0,[0.],[5.41998136e-07],[3.21499675],[1065.3725489],[2146116.03670697],[1.73866923],[3483225.6204655],[0.01150779],[0.02000824],[4836521.22955367],[3024049.73858261],0,100000.0,0,0,0,0,[100000.],[100000.],[0.02443779],[0.00601653],[0.],[0.]
754,[0.12707746],[2405.18517604],3000000.0,[0.],[5.46607782e-07],[3.22620062],[1074.93761729],[2148178.92263185],[1.75195221],[4022613.67525872],[0.01143999],[0.02004232],[4847531.37455382],[3016225.4163856],0,100000.0,0,0,0,0,[100000.],[100000.],[0.02491932],[0.0056783],[0.],[0.]
755,[0.12757266],[2405.18517604],3000000.0,[0.],[5.50809098e-07],[3.23721523],[1084.2752549],[2150342.68166385],[1.76492447],[4521115.36672228],[0.01137458],[0.02007527],[4858393.71970175],[3008847.22067823],0,100000.0,0,0,0,0,[100000.],[100000.],[0.02537284],[0.00539257],[0.],[0.]
756,[0.12803366],[2405.18517604],3000000.0,[0.],[5.54690083e-07],[3.24889231],[1093.93522117],[2152581.51909349],[1.77764302],[5041351.22963691],[0.01131123],[0.02010733],[4869135.37936525],[3001873.08625459],0,100000.0,0,0,0,0,[100000.],[100000.],[0.0257978],[0.00516922],[0.],[0.]
757,[0.12846691],[2405.18517604],3000000.0,[0.],[5.58316138e-07],[3.26076606],[1103.64425054],[2154905.60692756],[1.79015212],[5550249.07649313],[0.01124965],[0.02013859],[4879775.98770533],[2995308.4208088],0,100000.0,0,0,0,0,[100000.],[100000.],[0.02619359],[0.00503947],[0.],[0.]
