,t,N_pump,p_pump,eta_pump,tau_pump,tau_turbine,T_gg_comb,Pcc_gg,MR_gg,dp_dt_gg,m_dot_gg_inj_fu,m_dot_gg_inj_ox,p_gg_inj_ox,p_gg_inj_fu,T_me_comb,Pcc_me,MR_me,dp_dt_me,m_dot_me_inj_fu,m_dot_me_inj_ox,p_me_inj_ox,p_me_inj_fu,m_dot_gg_mov,m_dot_gg_mfv,m_dot_me_mov,m_dot_me_mfv
61,[0.05492241],[2405.18517604],3000000.0,[0.],[1.42883618e-09],[0.38424207],1504.1670610121828,[444062.89491645],[2.35581837],[1.03181593e+08],[0.00393496],[0.00927006],[1029302.52922011],[552662.04974225],0,100000.0,0,0,0,0,[100000.],[100000.],[0.09749617],[0.0759644],[0.],[0.]
62,[0.05495179],[2405.18517604],3000000.0,[0.],[1.45649634e-09],[0.39037678],1499.8462342837245,[447130.91760043],[2.34874146],[1.0366103e+08],[0.00397096],[0.00932677],[1039425.35994729],[557631.87886254],0,100000.0,0,0,0,0,[100000.],[100000.],[0.09863657],[0.07686337],[0.],[0.]
63,[0.05498081],[2405.18517604],3000000.0,[0.],[1.48425713e-09],[0.39650899],1495.5388319200322,[450175.79551073],[2.34171551],[1.04139182e+08],[0.00400702],[0.00938329],[1049545.22591745],[562598.84467259],0,100000.0,0,0,0,0,[100000.],[100000.],[0.09976361],[0.07775225],[0.],[0.]
64,[0.0550095],[2405.18517604],3000000.0,[0.],[1.51212002e-09],[0.40263896],1491.2500103833804,[453198.48658511],[2.33474822],[1.04615923e+08],[0.00404311],[0.00943963],[1059662.22890327],[567563.07158348],0,100000.0,0,0,0,0,[100000.],[100000.],[0.10087743],[0.07863114],[0.],[0.]
65,[0.05503787],[2405.18517604],3000000.0,[0.],[1.54008645e-09],[0.40876693],1486.9843152508824,[456199.8979104],[2.3278462],[1.05091142e+08],[0.00407921],[0.00949578],[1069776.46556822],[572524.67876098],0,100000.0,0,0,0,0,[100000.],[100000.],[0.10197813],[0.07950013],[0.],[0.]
66,[0.05506592],[2405.18517604],3000000.0,[0.],[1.56815784e-09],[0.41489312],1482.7457419704074,[459180.88932787],[2.32101508],[1.05564737e+08],[0.00411533],[0.00955174],[1079888.02780344],[577483.7804228],0,100000.0,0,0,0,0,[100000.],[100000.],[0.10306585],[0.08035931],[0.],[0.]
67,[0.05509367],[2405.18517604],3000000.0,[0.],[1.59633557e-09],[0.42101775],1478.5377908600021,[462142.27672377],[2.31425963],[1.06036615e+08],[0.00415144],[0.0096075],[1089997.0030373],[582440.48611558],0,100000.0,0,0,0,0,[100000.],[100000.],[0.10414068],[0.08120876],[0.],[0.]
68,[0.05512113],[2405.18517604],3000000.0,[0.],[1.62462102e-09],[0.42714102],1474.3635165070032,[465084.83503746],[2.30758383],[1.06506695e+08],[0.00418753],[0.00966307],[1100103.47452012],[587394.9009733],0,100000.0,0,0,0,0,[100000.],[100000.],[0.10520276],[0.08204859],[0.],[0.]
69,[0.0551483],[2405.18517604],3000000.0,[0.],[1.65301554e-09],[0.43326313],1470.2255725565426,[468009.30101511],[2.300991],[1.069749e+08],[0.00422359],[0.00971844],[1110207.52158649],[592347.12595849],0,100000.0,0,0,0,0,[100000.],[100000.],[0.10625219],[0.08287886],[0.],[0.]
70,[0.05517521],[2405.18517604],3000000.0,[0.],[1.68152044e-09],[0.43938427],1466.1262520669134,[470916.37573457],[2.29448385],[1.07441163e+08],[0.00425961],[0.00977361],[1120309.21989725],[597297.2580877],0,100000.0,0,0,0,0,[100000.],[100000.],[0.10728909],[0.08369969],[0.],[0.]
71,[0.05520184],[2405.18517604],3000000.0,[0.],[1.71013703e-09],[0.44550461],1462.0675239467491,[473806.72692369],[2.28806455],[1.07905425e+08],[0.00429559],[0.00982858],[1130408.64166299],[602245.39064231],0,100000.0,0,0,0,0,[100000.],[100000.],[0.10831358],[0.08451114],[0.],[0.]
72,[0.05522822],[2405.18517604],3000000.0,[0.],[1.7388666e-09],[0.45162432],1458.0510658463436,[476680.9910919],[2.2817348],[1.08367629e+08],[0.00433151],[0.00988335],[1140505.85585081],[607191.6133659],0,100000.0,0,0,0,0,[100000.],[100000.],[0.10932576],[0.0853133],[0.],[0.]
