,P,MR,Cv,Cp,T,R
1438,2611111.111111111,0.9343434343434344,1778.7590892277026,2286.706906929345,1189.4141668619081,507.94781770164286
1439,2666666.6666666665,0.9343434343434344,1779.6036528224454,2287.158017069079,1190.8377880665626,507.5543642466338
1440,2722222.222222222,0.9343434343434344,1780.4335187723304,2287.6016737394534,1192.234826481702,507.168154967123
1441,2777777.7777777775,0.9343434343434344,1781.2492286535655,2288.0381494450626,1193.6062980704728,506.78892079149665
1442,2833333.3333333335,0.9343434343434344,1782.0512937675085,2288.467701385248,1194.95316067452,506.41640761773976
1443,2888888.888888889,0.9343434343434344,1782.8401973898194,2288.8905726013772,1196.2763184023968,506.0503752115577
1444,2944444.4444444445,0.9343434343434344,1783.6163968126605,2289.306993017425,1197.5766256093523,505.69059620476474
1445,3000000.0,0.9343434343434344,1784.38032520259,2289.7171803857336,1198.8548905134292,505.3368551831436
1446,3055555.5555555555,0.9343434343434344,1785.1323932937714,2290.1213411480603,1200.111878487208,504.9889478542891
1447,3111111.111111111,0.9343434343434344,1785.8729909458084,2290.5196712328707,1201.3483150676498,504.64668028706257
1448,3166666.6666666665,0.9343434343434344,1786.6024885028746,2290.912356726524,1202.564888669564,504.3098682236495
1449,3222222.222222222,0.9343434343434344,1787.321238187266,2291.2995745971375,1203.7622531282325,503.97833640987096
1450,3277777.7777777775,0.9343434343434344,1788.0295752013806,2291.6814932565176,1204.9410299889162,503.6519180551368
1451,3333333.3333333335,0.9343434343434344,1788.7278188558334,2292.0582731194477,1206.1018106100282,503.33045426361394
1452,3388888.888888889,0.9343434343434344,1789.4162735207935,2292.430067184372,1207.2451582589892,503.0137936635786
1453,3444444.4444444445,0.9343434343434344,1790.0952297461638,2292.7970212138325,1208.3716092772083,502.7017914676688
1454,3500000.0,0.9343434343434344,1790.7649648184504,2293.1592746053448,1209.4816756765435,502.3943097868944
1455,3555555.5555555555,0.9343434343434344,1791.425743752691,2293.516960492123,1210.5758460115042,502.09121673943173
