x	y	z
-6.8947524026506235	3.779349794822109	0.0
-6.876393320443233	3.8083100584120415	0.0
-6.857925098116576	3.8372923684384213	0.0
-6.839346821672514	3.866297481994508	0.0
-6.820658201453963	3.895325170156401	0.0
-6.801858967567195	3.9243751723027787	0.0
-6.782948173631829	3.9534482671424853	0.0
-6.763925505000275	3.9825442505221353	0.0
-6.744790663389308	4.011662891757001	0.0
-6.7255426700101975	4.040804989228996	0.0
-6.706181184874313	4.069970362154485	0.0
-6.68670588090809	4.099158808314239	0.0
-6.667115746819203	4.128371144007491	0.0
-6.647410416864879	4.157607210571391	0.0
-6.6275895347205465	4.186866832927912	0.0
-6.607652056429369	4.216150843704494	0.0
-6.587597590022167	4.2454591052441035	0.0
-6.567425749405922	4.274791468415233	0.0
-6.547135457735612	4.304148780733722	0.0
-6.526726296287041	4.333530924551518	0.0
-6.506197848627165	4.362937775603714	0.0
-6.4855490021081295	4.392370198738055	0.0
-6.464779544755977	4.421827763376407	0.0
-6.44388834272839	4.451311341166943	0.0
-6.4228749321407745	4.480820844806725	0.0
-6.401738845356505	4.5103561882646055	0.0
-6.380478913991173	4.5399182558905595	0.0
-6.3375644934960675	4.5991069939864735	0.0
-6.155820651585348	4.83948070542862	0.0
-5.964965120567386	5.07268557567106	0.0
-5.765280399943297	5.298376420798242	0.0
-5.557062057956012	5.516219178963411	0.0
-5.340618294097688	5.725891404858458	0.0
-5.116269482920653	5.9270827469892575	0.0
-4.884347699827153	6.119495407050057	0.0
-4.6451962295397875	6.30284458071695	0.0
-4.399169057980194	6.476858879207992	0.0
-4.146630348308101	6.641280730985957	0.0
-3.8879539018962745	6.795866763009204	0.0
-3.623522605039243	6.94038816096622	0.0
-3.3537278622147464	7.074631007960784	0.0
-3.078969016736783	7.198396601146283	0.0
-2.7996527596577994	7.3115017458406255	0.0
-2.5161925277949377	7.413779026686348	0.0
-2.229007891771385	7.505077055454558	0.0
-1.9385239349786056	7.585260695125955	0.0
-1.6451706243787219	7.654211259917187	0.0
-1.3493821740783585	7.711826690956548	0.0
-1.0515964026159679	7.758021707348907	0.0
-0.7522540849139677	7.792727932406334	0.0
-0.4517982998549184	7.8158939948575235	0.0
-0.15067377444743243	7.827485604886234	0.0
0.15067377444743071	7.827485604886234	0.0
0.4517982998549175	7.8158939948575235	0.0
0.7522540849139668	7.792727932406334	0.0
1.051596402615967	7.758021707348907	0.0
1.3493821740783565	7.711826690956548	0.0
1.6451706243787203	7.654211259917187	0.0
1.9385239349786043	7.5852606951259585	0.0
2.229007891771384	7.505077055454558	0.0
2.5161925277949373	7.413779026686348	0.0
2.7996527596577985	7.3115017458406255	0.0
3.078969016736783	7.198396601146283	0.0
3.353727862214745	7.074631007960784	0.0
3.623522605039241	6.94038816096622	0.0
3.8879539018962723	6.795866763009204	0.0
4.1466303483081	6.641280730985957	0.0
4.399169057980194	6.476858879207992	0.0
4.6451962295397875	6.30284458071695	0.0
4.884347699827152	6.119495407050061	0.0
5.116269482920651	5.92708274698926	0.0
5.340618294097686	5.725891404858458	0.0
5.557062057956012	5.516219178963411	0.0
5.765280399943296	5.298376420798242	0.0
5.964965120567386	5.072685575671064	0.0
6.155820651585348	4.839480705428624	0.0
6.3375644934960675	4.5991069939864735	0.0
6.359094878011502	4.569506656825071	0.0
6.380478913991173	4.5399182558905595	0.0
6.401738845356505	4.5103561882646055	0.0
6.4228749321407745	4.480820844806725	0.0
6.44388834272839	4.451311341166943	0.0
6.464779544755977	4.421827763376407	0.0
6.4855490021081295	4.392370198738055	0.0
6.506197848627165	4.362937775603714	0.0
6.526726296287041	4.333530924551518	0.0
6.547135457735612	4.304148780733722	0.0
6.567425749405922	4.274791468415233	0.0
6.587597590022167	4.2454591052441035	0.0
6.607652056429369	4.216150843704494	0.0
6.6275895347205465	4.186866832927912	0.0
6.647410416864879	4.157607210571391	0.0
6.667115746819203	4.128371144007491	0.0
6.68670588090809	4.099158808314239	0.0
6.706181184874313	4.069970362154485	0.0
6.7255426700101975	4.040804989228996	0.0
6.744790663389308	4.011662891757001	0.0
6.763925505000275	3.9825442505221353	0.0
6.782948173631829	3.9534482671424853	0.0
6.801858967567195	3.9243751723027787	0.0
6.820658201453963	3.895325170156401	0.0
6.839346821672514	3.866297481994508	0.0
6.857925098116576	3.8372923684384213	0.0
6.876393320443233	3.8083100584120415	0.0
6.8947524026506235	3.779349794822109	0.0
6.913002586580244	3.7504118698639433	0.0
6.931144137182579	3.7214965388053627	0.0
6.949177936026296	3.6926030683207216	0.0
6.96710419716987	3.663731784005798	0.0
6.9849233665508645	3.6348826365689457	0.0
7.00263566457961	3.606055938395995	0.0
